"ФИО";"Дата рождения";"Кем выдан паспорт";"Кем выдан документ об образовании";"Дата выдачи документа об образовании"
"Баранова Валерия Львовна";"27.12.1999";"ОВМ ОМВД России по г. Оренбургу";"МБОУ СОШ № 56 г. Оренбурга";"20.06.2017"
"Богданова Анастасия Фёдоровна";"25.07.2002";"ОВМ ОМВД России по Сорочинскому городскому округу Оренбургской области";"МБОУ СОШ № 1 г. Сорочинска Оренбургской области";"22.06.2019"
"Брагина Тимофей Андреевич";"27.02.1993";"ОВМ ОМВД России по г. Орску Оренбургской области";"МОАУ СОШ № 35 г. Орска Оренбургской области";"25.06.2010"
"Вишнякова София Сергеевна";"27.03.2002";"ОВМ ОМВД России по г. Бузулуку Оренбургской области";"МОАУ СОШ № 6 г. Бузулука Оренбургской области";"18.06.2019"
"Громова Владлена Андреевна";"09.05.1994";"ОВМ ОМВД России по Оренбургскому району Оренбургской области";"МБОУ Ивановская СОШ Оренбургского района";"24.06.2011"
"Гусева Нина Сергеевна";"16.12.1995";"ОВМ ОМВД России по г. Новотроицку Оренбургской области";"МАОУ СОШ № 23 г. Новотроицка Оренбургской области";"21.06.2013"
"Гущин Владлен Сергеевич";"22.08.2000";"ОВМ ОМВД России по г. Бугуруслану Оренбургской области";"МОБУ СОШ № 3 г. Бугуруслана Оренбургской области";"19.06.2017"
"Иванов Иван Иванович";"10.11.1996";"ОВМ ОМВД России по г. Гаю Оренбургской области";"МБОУ СОШ № 8 г. Гая Оренбургской области";"23.06.2014"
"йцу йцу цуйу";"NULL";"NULL";"NULL";"NULL"
"Кабанова Валерия Фёдоровна";"03.07.1998";"ОВМ ОМВД России по г. Медногорску Оренбургской области";"МБОУ СОШ № 2 г. Медногорска Оренбургской области";"20.06.2015"
"Казакова Лилия Борисовна";"05.01.1997";"ОВМ ОМВД России по Соль-Илецкому городскому округу Оренбургской области";"МБОУ СОШ № 4 г. Соль-Илецка Оренбургской области";"18.06.2014"
"Колобова Дина Дмитриевна";"03.07.1994";"ОВМ ОМВД России по Кувандыкскому городскому округу Оренбургской области";"МБОУ СОШ № 2 г. Кувандыка Оренбургской области";"24.06.2011"
"Комиссаров Николай Александрович";"16.03.1995";"ОВМ ОМВД России по Ясненскому городскому округу Оренбургской области";"МБОУ СОШ № 3 г. Ясного Оренбургской области";"21.06.2012"
"Константинова Доминика Алексеевна";"22.09.1999";"ОВМ ОМВД России по Тоцкому району Оренбургской области";"МБОУ Тоцкая СОШ имени А.К. Стерелюхина";"19.06.2016"
"Копылов Яков Евгеньевич";"10.09.1998";"ОВМ ОМВД России по Абдулинскому городскому округу Оренбургской области";"МБОУ СОШ № 1 г. Абдулино Оренбургской области";"25.06.2015"
"Костин Назар Борисович";"08.12.1997";"ОВМ ОМВД России по Акбулакскому району Оренбургской области";"МБОУ Акбулакская СОШ № 1 Оренбургской области";"20.06.2015"
"Кудряшов Дан Владимирович";"09.06.1996";"ОВМ ОМВД России по Первомайскому району Оренбургской области";"МБОУ Первомайская СОШ Оренбургской области";"22.06.2013"
"Куликова Дина Александровна";"15.07.1999";"ОВМ ОМВД России по Саракташскому району Оренбургской области";"МБОУ Саракташская СОШ № 2 Оренбургской области";"18.06.2016"
"Лихачёв Платон Евгеньевич";"20.08.1997";"ОВМ ОМВД России по Тюльганскому району Оренбургской области";"МБОУ Тюльганская СОШ № 1 Оренбургской области";"23.06.2014"
"Логинов Захар Романович";"25.07.1996";"ОВМ ОМВД России по г. Самаре";"МБОУ Школа № 124 г. Самары";"20.06.2013"
"Некрасова Альбина Максимовна";"13.07.1995";"ОВМ ОМВД России по г. Тольятти Самарской области";"МБУ Школа № 91 г. Тольятти Самарской области";"24.06.2012"
"Одинцов Павел Максимович";"17.10.1998";"ОВМ УМВД России по г. Саратову";"МОУ СОШ № 67 г. Саратова";"19.06.2016"
"Орехов Святослав Львович";"15.07.1999";"ОВМ ОМВД России по г. Энгельсу Саратовской области";"МОУ СОШ № 33 г. Энгельса Саратовской области";"21.06.2016"
"Рожков Николай Максимович";"10.12.2001";"ОВМ УМВД России по г. Казани";"МБОУ Лицей № 35 г. Казани Республики Татарстан";"22.06.2019"
"Самойлова Аксана Игорьевна";"15.02.2005";"ОВМ ОМВД России по Альметьевскому району Республики Татарстан";"МБОУ СОШ № 16 г. Альметьевска Республики Татарстан";"20.06.2022"
"Терентьева Тамара Фёдоровна";"11.07.1998";"ОВМ УМВД России по г. Уфе";"МАОУ Школа № 45 г. Уфы Республики Башкортостан";"24.06.2015"
"Тимофеева Ульяна Александровна";"28.09.1997";"ОВМ ОМВД России по Стерлитамакскому району Республики Башкортостан";"МАОУ СОШ № 31 г. Стерлитамака Республики Башкортостан";"18.06.2015"
"Филиппов Алексей Петрович";"19.02.2010";"ОВМ ОМВД России по г. Оренбургу";"МБОУ СОШ № 32 г. Оренбурга";"25.06.2026"
"Филиппов Алексей Петрович";"NULL";"NULL";"NULL";"NULL"
"Фокин Геннадий Евгеньевич";"05.10.2006";"ОВМ УМВД России по г. Челябинску";"МАОУ СОШ № 104 г. Челябинска";"22.06.2024"
"Хохлов Пётр Борисович";"13.12.1998";"ОВМ ОМВД России по г. Магнитогорску Челябинской области";"МОУ СОШ № 64 г. Магнитогорска Челябинской области";"21.06.2016"
"Шестаков Альберт Андреевич";"27.10.2005";"ОВМ ОМВД России по г. Миассу Челябинской области";"МКОУ СОШ № 9 г. Миасса Челябинской области";"20.06.2023"
"Шилова Ева Борисовна";"21.05.1996";"ОВМ ОМВД России по г. Сызрани Самарской области";"ГБОУ СОШ № 4 г. Сызрани Самарской области";"23.06.2013"
"Щукина Алина Алексеевна";"03.12.1999";"ОВМ ОМВД России по Белебеевскому району Республики Башкортостан";"МАОУ СОШ № 15 г. Белебея Республики Башкортостан";"19.06.2017"
