"ФИО";"Название специальности";"Льгота"
"Брагина Тимофей Андреевич";"Бурение нефтяных и газовых скважин";"Нет"
"Брагина Тимофей Андреевич";"Бурение нефтяных и газовых скважин";"Нет"
"Брагина Тимофей Андреевич";"Информационные системы и программирование";"svo_children"
"Гущин Владлен Сергеевич";"Информационные системы и программирование";"svo_children"
"Гущин Владлен Сергеевич";"Оператор нефтяных и газовых скважин";"Нет"
"Гущин Владлен Сергеевич";"Сварщик";"svo_children"
"Иванов Иван Иванович";"Бурение нефтяных и газовых скважин";"Нет"
"Иванов Иван Иванович";"Информационные системы и программирование";"disabled_children"
"Иванов Иван Иванович";"Монтаж, техническое обслуживание, эксплуатация  и ремонт промышленного оборудования";"Нет"
"Иванов Иван Иванович";"Разработка и эксплуатация нефтяных и газовых месторождений";"Нет"
"Кабанова Валерия Фёдоровна";"Бурение нефтяных и газовых скважин";"Нет"
"Кабанова Валерия Фёдоровна";"Бурение нефтяных и газовых скважин";"svo_children"
"Кабанова Валерия Фёдоровна";"Оператор нефтяных и газовых скважин";"military_injury_disability"
"Кабанова Валерия Фёдоровна";"Сварщик";"Нет"
"Кабанова Валерия Фёдоровна";"Слесарь-наладчик контрольно-измерительных приборов и автоматики";"orphans"
"Колобова Дина Дмитриевна";"Оператор нефтяных и газовых скважин";"Нет"
"Колобова Дина Дмитриевна";"Слесарь-наладчик контрольно-измерительных приборов и автоматики";"Нет"
"Константинова Доминика Алексеевна";"Бурение нефтяных и газовых скважин";"svo_children"
"Константинова Доминика Алексеевна";"Бурение нефтяных и газовых скважин";"svo_children"
"Константинова Доминика Алексеевна";"Информационные системы и программирование";"svo_children"
"Костин Назар Борисович";"Бурение нефтяных и газовых скважин";"Нет"
"Костин Назар Борисович";"Бурение нефтяных и газовых скважин";"Нет"
"Кудряшов Дан Владимирович";"Бурение нефтяных и газовых скважин";"Нет"
"Кудряшов Дан Владимирович";"Бурение нефтяных и газовых скважин";"Нет"
"Логинов Захар Романович";"Бурение нефтяных и газовых скважин";"Нет"
"Логинова Захар Романович";"Бурение нефтяных и газовых скважин";"Нет"
"Логинова Захар Романович";"Информационные системы и программирование";"Нет"
"Логинова Захар Романович";"Разработка и эксплуатация нефтяных и газовых месторождений";"Нет"
"Логинова Захар Романович";"Сварщик";"Нет"
"Орехов Святослав Львович";"Бурение нефтяных и газовых скважин";"Нет"
"Орехов Святослав Львович";"Бурение нефтяных и газовых скважин";"Нет"
"Орехов Святослав Львович";"Сварщик";"svo_children"
"Самойлова Аксана Игорьевна";"Информационные системы и программирование";"Нет"
"Терентьева Тамара Фёдоровна";"Бурение нефтяных и газовых скважин";"Нет"
"Терентьева Тамара Фёдоровна";"Бурение нефтяных и газовых скважин";"Нет"
"Тимофеева Ульяна Александровна";"Бурение нефтяных и газовых скважин";"Нет"
"Тимофеева Ульяна Александровна";"Бурение нефтяных и газовых скважин";"Нет"
"Филиппов Алексей Петрович";"Бурение нефтяных и газовых скважин";"svo_children"
"Филиппов Алексей Петрович";"Информационные системы и программирование";"Нет"
"Хохлов Пётр Борисович";"Информационные системы и программирование";"Нет"
"Хохлов Пётр Борисович";"Монтаж, техническое обслуживание, эксплуатация  и ремонт промышленного оборудования";"Нет"
"Хохлов Пётр Борисович";"Разработка и эксплуатация нефтяных и газовых месторождений";"Нет"
